Penguin source,Penguin sink,Info
Osshii,Same,battle over Tera
Same,Osshii,battle over Tera
Kuro,Ryou,Kuro temporarily invaded Ryou + Rokujou's home while searching for a new home
Kuro,Rokujou,Kuro temporarily invaded Ryou + Rokujou's home while searching for a new home
Kuro,Oike,dragged his own father into the pool
Rokkaku,Oike,battled over a mountain view home and Rokkakku was victorious
Oike,Rokkaku,battled over a mountain view home and Rokkakku was victorious
