Penguin source,Penguin sink,Info
Kuruma,Hana,mid-attack
Hana,Kuruma,not so bad
Nijou,Hana,mid-attack
Hana,Nijou,not so bad
Kuruma,Shinmachi,"tried to approach, Shinmachi is unresponsive"
Tera,Same,sometimes together
Same,Tera,sometimes together
Tera,Shijou,moment of temptation by Tera and danger of catastrophe
